f^(1): LTE = O(20)
=========================

f^(1): forward 0
-----------------------------------
(weights, stencil)
-1.4294968481731954584868e-03, -11
-2.7594473100133268001627e-04, -10
9.9650032522933060935566e-03, -9
1.0359609937413226388170e-01, -8
-7.0708987386936761332379e-01, -7
2.1133926067214710009523e+00, -6
-4.0205595781792071718996e+00, -5
5.4741933775722309007961e+00, -4
-5.6764246838281415818983e+00, -3
4.7606396081784660978542e+00, -2
-3.7604640208840676152136e+00, -1
1.5499004551233765969442e+00, 0
1.6114524723980605536156e-01, 1
-5.9584791073696912952484e-03, 2
-----------------------------------
f^(1): backward 1
-----------------------------------
(weights, stencil)
-5.5107739420871956412262e-09, -19
-9.5211605371019406430892e-05, -18
6.0539841516294833762002e-04, -17
-8.1693277994666294982568e-04, -16
-2.6738836789671044900929e-03, -15
8.6603700540108328326250e-03, -14
-4.2047300237381679544058e-03, -13
-5.7326514230789642895258e-03, -12
-9.6405089176093642505672e-03, -11
1.9344089641585716487365e-03, -10
5.0886951799248882066795e-02, -9
5.0187948766240564335561e-01, -8
-3.1180928549701110163994e+00, -7
8.3384550765729201771137e+00, -6
-1.3939341209042108715721e+01, -5
1.6316506281026430968950e+01, -4
-1.4130861360988362207536e+01, -3
9.4973110154734481369587e+00, -2
-5.6342959541868813388987e+00, -1
2.0488672536185572603529e+00, 0
8.0649059540601295004159e-02, 1
-----------------------------------
f^(1): backward 0
-----------------------------------
(weights, stencil)
7.7350008591272906982583e-04, -20
-3.0567004311238448258092e-03, -19
-7.7972481902353878852052e-03, -18
5.8719363437408300665510e-02, -17
-7.1709976735051042529001e-02, -16
-1.5224391626878513994470e-01, -15
4.5314613186826541157970e-01, -14
-2.5036379316977253051135e-01, -13
-1.3918584143896206573032e-01, -12
-2.5212898088720436806653e-01, -11
1.8732215168209212508010e-01, -10
7.4741717011013708571454e-01, -9
6.8023788885294935724346e+00, -8
-3.5806593979569463215284e+01, -7
7.9368364129754198188493e+01, -6
-1.0762622546597147277225e+02, -5
9.9450867306174913551331e+01, -4
-6.5382830768219534434138e+01, -3
3.1334552993927893282944e+01, -2
-1.1805910336294470397434e+01, -1
3.0945053716057522308347e+00, 0
-----------------------------------
=========================
f^(2): LTE = O(19)
=========================

f^(2): forward 0
-----------------------------------
(weights, stencil)
4.2932631309611508640955e+00, 0
-2.5760058724557211462525e+01, 1
8.0510813858846006496606e+01, 2
-1.6796096351159806658870e+02, 3
2.4682081050275013467399e+02, 4
-2.5543967984730275588845e+02, 5
1.7950043497949255311141e+02, 6
-7.6874879581548100304644e+01, 7
1.3783794357138049235800e+01, 8
8.6768194008121346527673e-01, 9
1.4203985338091469348143e+00, 10
-8.3912592325783619262580e-01, 11
-8.4069322671893054188530e-01, 12
3.8583740115039549811726e-01, 13
3.2983830977864275757483e-01, 14
-1.6591488116511199368830e-01, 15
-1.0592067919146426480115e-01, 16
9.5656315346185072368002e-02, 17
-2.0778329743715465843801e-02, 18
-1.2287741817609053405352e-03, 19
7.1414991148108057650301e-04, 20
-----------------------------------
f^(2): forward 1
-----------------------------------
(weights, stencil)
4.7451816732897711403893e-01, -1
1.7476132447818315540644e+00, 0
-1.2126531806914584876722e+01, 1
3.0059423181598400987014e+01, 2
-4.9384422525673940640445e+01, 3
5.9514198985303842448502e+01, 4
-5.1905738177110329445441e+01, 5
3.1276029918274620200691e+01, 6
-1.1615258111337444901778e+01, 7
1.8211409557141495785260e+00, 8
1.0725633422904870539760e-01, 9
1.3131576473132125504328e-01, 10
-7.3220395544245628349778e-02, 11
-5.8708654220945385993069e-02, 12
2.5127989234623011871594e-02, 13
1.5554221778886255858620e-02, 14
-7.2596545678522304487212e-03, 15
-2.8128372005357198636089e-03, 16
2.1146358763013649306739e-03, 17
-3.4123090456198850199329e-04, 18
-5.3775634273111033860231e-09, 19
-----------------------------------
f^(2): forward 2
-----------------------------------
(weights, stencil)
-2.4237631677521520590091e-02, -2
8.1965746928174276764167e-01, -1
-3.8975298013553766329764e-01, 0
-4.1497371781688476843897e+00, 1
1.0006880962417969982425e+01, 2
-1.3795610869123219544008e+01, 3
1.4165064364301057864282e+01, 4
-1.0737973142758795219720e+01, 5
5.7196322980955009995796e+00, 6
-1.9042724217761404226223e+00, 7
2.7082793694030704578779e-01, 8
1.5092578101573408261293e-02, 9
1.5933310458138200127465e-02, 10
-8.5556191428320972625077e-03, 11
-6.1882726689681741283344e-03, 12
2.5724043891296173407202e-03, 13
1.4143358094981786296507e-03, 14
-6.4687102940231319247316e-04, 15
-2.2261353560882812742568e-04, 16
1.6334819526338793284348e-04, 17
-2.5223662210426389115392e-05, 18
-----------------------------------
f^(2): forward 3
-----------------------------------
(weights, stencil)
1.6256901457380892959265e-03, -3
-4.1562027910399063079794e-02, -2
1.0923830278010266958688e+00, -1
-1.8615185044696920257934e+00, 0
1.7070536574652014905062e-01, 1
1.5759306720626542475117e+00, 2
-1.8615250891146886136340e+00, 3
1.5892357086269550681124e+00, 4
-1.0030498905472033932540e+00, 5
4.4665913531521411750091e-01, 6
-1.2474659005660400368232e-01, 7
1.4912688220543306172328e-02, 8
7.3743798916127022060468e-04, 9
5.7593124257150694715601e-04, 10
-2.7930006651861755823107e-04, 11
-1.4881133037223105946949e-04, 12
5.6142223735986354106464e-05, 13
1.8373370392242069614732e-05, 14
-7.5470604287844475304391e-06, 15
-8.8381309621916858909959e-07, 16
4.2269348935471774342528e-07, 17
-----------------------------------
f^(2): forward 4
-----------------------------------
(weights, stencil)
-5.0301358263970402402016e-04, -4
1.0324076074810189032616e-02, -3
-1.1708634206654146281412e-01, -2
1.2928826052054713802164e+00, -1
-2.1660234816453804995717e+00, 0
5.6136218846727237163918e-01, 1
1.0411487852756602379145e+00, 2
-1.1441867921950015229982e+00, 3
8.3439304348903020613903e-01, 4
-4.4329055656645927063764e-01, 5
1.6569768047772767682879e-01, 6
-3.8823794013788250067964e-02, 7
3.8920280590266555925671e-03, 8
1.6480871187546662680681e-04, 9
1.0014575883212537509275e-04, 10
-4.3083985146954268622560e-05, 11
-1.6125868754637746351182e-05, 12
5.5241236897710549761872e-06, 13
8.9780101227494983029648e-07, 14
-3.3294352879427407255450e-07, 15
-1.4512798627464400428960e-10, 16
-----------------------------------
f^(2): forward 5
-----------------------------------
(weights, stencil)
1.0344684679945328326361e-04, -5
-2.1014081963170484768089e-03, -4
2.1895566251075613412036e-02, -3
-1.6971801088670274149095e-01, -2
1.4876674258855129284740e+00, -1
-2.5812024957612096365267e+00, 0
1.1579349785798951355531e+00, 1
3.3310107653377041270204e-01, 2
-4.5195263278319663946547e-01, 3
3.1813170984285893405641e-01, 4
-1.5793624842273951136562e-01, 5
5.4859527355330527098598e-02, 6
-1.1961560774231256784605e-02, 7
1.1210096975373367699652e-03, 8
4.4273405813547582379319e-05, 9
2.5234926538846005412064e-05, 10
-1.0472847972752719086136e-05, 11
-3.5348687445250862500256e-06, 12
1.1906437517528391520697e-06, 13
1.6860244618751013840852e-07, 14
-6.2289629812325125166094e-08, 15
-----------------------------------
f^(2): forward 6
-----------------------------------
